ProteinsSNPsClinicalCases_id,ClinicalCases_id,SNPsDescription_id,WildTypeProteinDescription_id
PSNPCC1,1,SNPD1,WTPTN1
PSNPCC2,2,SNPD2,WTPTN2
PSNPCC3,3,SNPD3,WTPTN3
PSNPCC4,4,SNPD4,WTPTN4
PSNPCC5,5,SNPD5,WTPTN5
PSNPCC6,6,SNPD6,WTPTN6
PSNPCC7,7,SNPD7,WTPTN7
PSNPCC8,8,SNPD8,WTPTN8
PSNPCC9,9,SNPD9,WTPTN9
PSNPCC10,10,SNPD10,WTPTN10
PSNPCC11,11,SNPD11,WTPTN11
PSNPCC12,12,SNPD12,WTPTN12
PSNPCC13,13,SNPD13,WTPTN13
PSNPCC14,14,SNPD14,WTPTN14
PSNPCC15,15,SNPD15,WTPTN15
PSNPCC16,16,SNPD16,WTPTN16
PSNPCC17,17,SNPD17,WTPTN17
PSNPCC18,18,SNPD18,WTPTN18
PSNPCC19,19,SNPD19,WTPTN19
PSNPCC20,20,SNPD20,WTPTN20
PSNPCC21,21,SNPD21,WTPTN21
PSNPCC22,22,SNPD22,WTPTN22
PSNPCC23,23,SNPD23,WTPTN23
PSNPCC24,24,SNPD24,WTPTN24
PSNPCC25,25,SNPD25,WTPTN25
PSNPCC26,26,SNPD26,WTPTN26
PSNPCC27,27,SNPD27,WTPTN27
PSNPCC28,28,SNPD28,WTPTN28
PSNPCC29,29,SNPD29,WTPTN29
PSNPCC30,30,SNPD30,WTPTN30
PSNPCC31,31,SNPD31,WTPTN31
PSNPCC32,32,SNPD32,WTPTN32
PSNPCC33,33,SNPD33,WTPTN33
PSNPCC34,34,SNPD34,WTPTN34
PSNPCC35,35,SNPD35,WTPTN35
PSNPCC36,36,SNPD36,WTPTN36
PSNPCC37,37,SNPD37,WTPTN37
PSNPCC38,38,SNPD38,WTPTN38
PSNPCC39,39,SNPD39,WTPTN39
PSNPCC40,40,SNPD40,WTPTN40
PSNPCC41,41,SNPD41,WTPTN41
PSNPCC42,42,SNPD42,WTPTN42
PSNPCC43,43,SNPD43,WTPTN43
PSNPCC44,44,SNPD44,WTPTN44
PSNPCC45,45,SNPD45,WTPTN45
PSNPCC46,46,SNPD46,WTPTN46
PSNPCC47,47,SNPD47,WTPTN47
PSNPCC48,48,SNPD48,WTPTN48
PSNPCC49,49,SNPD49,WTPTN49
PSNPCC50,50,SNPD50,WTPTN50
PSNPCC51,51,SNPD51,WTPTN51
PSNPCC52,52,SNPD52,WTPTN52
PSNPCC53,53,SNPD53,WTPTN53
PSNPCC54,54,SNPD54,WTPTN54
PSNPCC55,55,SNPD55,WTPTN55
PSNPCC56,56,SNPD56,WTPTN56
PSNPCC57,57,SNPD57,WTPTN57
PSNPCC58,58,SNPD58,WTPTN58
PSNPCC59,59,SNPD59,WTPTN59
PSNPCC60,60,SNPD60,WTPTN60
PSNPCC61,61,SNPD61,WTPTN61
PSNPCC62,62,SNPD62,WTPTN62
PSNPCC63,63,SNPD63,WTPTN63
PSNPCC64,64,SNPD64,WTPTN64
PSNPCC65,65,SNPD65,WTPTN65
PSNPCC66,66,SNPD66,WTPTN66
PSNPCC67,67,SNPD67,WTPTN67
PSNPCC68,68,SNPD68,WTPTN68
PSNPCC69,69,SNPD69,WTPTN69
PSNPCC70,70,SNPD70,WTPTN70
PSNPCC71,71,SNPD71,WTPTN71
PSNPCC72,72,SNPD72,WTPTN72
PSNPCC73,73,SNPD73,WTPTN73
PSNPCC74,74,SNPD74,WTPTN74
PSNPCC75,75,SNPD75,WTPTN75
PSNPCC76,76,SNPD76,WTPTN76
PSNPCC77,77,SNPD77,WTPTN77
PSNPCC78,78,SNPD78,WTPTN78
PSNPCC79,79,SNPD79,WTPTN79
PSNPCC80,80,SNPD80,WTPTN80
PSNPCC81,81,SNPD81,WTPTN81
PSNPCC82,82,SNPD82,WTPTN82
PSNPCC83,83,SNPD83,WTPTN83
PSNPCC84,84,SNPD84,WTPTN84
PSNPCC85,85,SNPD85,WTPTN85
PSNPCC86,86,SNPD86,WTPTN86
PSNPCC87,87,SNPD87,WTPTN87
PSNPCC88,88,SNPD88,WTPTN88
PSNPCC89,89,SNPD89,WTPTN89
PSNPCC90,90,SNPD90,WTPTN90
PSNPCC91,91,SNPD91,WTPTN91
PSNPCC92,92,SNPD92,WTPTN92
PSNPCC93,93,SNPD93,WTPTN93
PSNPCC94,94,SNPD94,WTPTN94
PSNPCC95,95,SNPD95,WTPTN95
PSNPCC96,96,SNPD96,WTPTN96
PSNPCC97,97,SNPD97,WTPTN97
PSNPCC98,98,SNPD98,WTPTN98
PSNPCC99,99,SNPD99,WTPTN99
PSNPCC100,100,SNPD100,WTPTN100
PSNPCC101,101,SNPD101,WTPTN101
PSNPCC102,102,SNPD102,WTPTN102
PSNPCC103,103,SNPD103,WTPTN103
PSNPCC104,104,SNPD104,WTPTN104
PSNPCC105,105,SNPD105,WTPTN105
PSNPCC106,106,SNPD106,WTPTN106
PSNPCC107,107,SNPD107,WTPTN107
PSNPCC108,108,SNPD108,WTPTN108
PSNPCC109,109,SNPD109,WTPTN109
PSNPCC110,110,SNPD110,WTPTN110
PSNPCC111,111,SNPD111,WTPTN111
PSNPCC112,112,SNPD112,WTPTN112
PSNPCC113,113,SNPD113,WTPTN113
PSNPCC114,114,SNPD114,WTPTN114
PSNPCC115,115,SNPD115,WTPTN115
